"ordre";"code";"Titre";"Matiere";"Editeur";"Edition";"Tarif neuf";"Classe";"occasion";"neuf"
14;9782904218231;"Claridad";"ESPAGNOL LV2  LV3";"MARTORANA";2004;"15.00";"Toutes classes";1;1
15;9782011353214;"Bled Italien Carmelina Boi";"ITALIEN LV2";"HACHETTE";2007;"10.95";"Toutes classes";1;1
16;9782035837516;"Russe Dictionnaire Pauliat (facultatif) (épuisé en Larousse)";"RUSSE";"Hachette";2008;"17.00";"Toutes classes";1;1
50;9782218745829;"littérature 2de : des textes aux séquences - (couverture verte) H. Sabbah";"FRANCAIS";"HATIER";2004;"28.90";"Seconde";0;0
51;9782047292556;"Histoire 2de - M.H. Baylac";"HISTOIRE";"BORDAS";2001;"26.50";"Seconde";0;0
52;9782210103474;"Les hommes occupent et aménagent la terre -";"GEOGRAPHIE";"MAGNARD";2005;"25.50";"Seconde";0;0
53;9782278055425;"modulo math -   J.M. Bedat";"MATHEMATIQUES";"DIDIER";2004;"26.20";"Seconde";0;0
54;9782701138213;"Physique Chimie 2de - Parisi";"SC. PHYSIQUE";"BELIN";2004;"27.50";"Seconde";0;0
55;9782218729171;"Sciences de la Vie et de la Terre 2nde nouveau programme -  Bergeron";"S.V.T.";"HATIER";2000;"27.80";"Seconde";0;0
56;9782091739120;"PROJEKT Deutsch NEU 2de (livre+CD) Claudine Decolqhan";"ALLEMAND LV.1 et LV.2";"NATHAN ";2006;"22.40";"Seconde";0;0
57;9782091756245;"BROAD WAYS 2nde (vert)  + éventuel actualisation 2004";"ANGLAIS LV1 et LV2";"NATHAN ";2004;"21.50";"Seconde";0;0
58;9782091756264;"BROAD WAYS 2nde (vert) 2001";"ANGLAIS LV1 et LV2";"NATHAN ";2001;"21.50";"Seconde";0;0
59;9782091725604;"sciences économiques et sociales - collection Echaudemaison fichier TP élèves";"S.E.S. ";"NATHAN";2008;"7.90";"Seconde";1;1
